ds,yhat
2025-09-01,144401.40483641718
2025-10-01,156126.6706476733
2025-11-01,143551.83749785548
2025-12-01,149696.5744948431
2026-01-01,140940.63776646514
2026-02-01,146945.4315862431
2026-03-01,143427.60010850744
2026-04-01,103886.23437574183
2026-05-01,129224.96652355567
2026-06-01,165690.86538110397
2026-07-01,165917.05771870192
2026-08-01,160255.87929911568
