ds,yhat
2025-09-01,63800.561844668184
2025-10-01,63298.4523757484
2025-11-01,62801.36400151781
2025-12-01,62309.24651102952
2026-01-01,61822.05019544613
2026-02-01,61339.72584301856
2026-03-01,60862.22473411527
2026-04-01,60389.49863630102
2026-05-01,59921.4997994649
2026-06-01,59458.18095099715
2026-07-01,58999.49529101407
2026-08-01,58545.39648763083
