ds,yhat
2025-09-01,90006.89517333638
2025-10-01,89789.81587684425
2025-11-01,82823.33303775347
2025-12-01,82803.71278967182
2026-01-01,98735.88448379547
2026-02-01,88791.25090178134
2026-03-01,74056.55368208127
2026-04-01,94160.22156834789
2026-05-01,86475.61503759932
2026-06-01,94035.05399651072
2026-07-01,84891.94525524424
2026-08-01,89598.92114799643
