ds,yhat,yhat_lower,yhat_upper
2025-12-01,702.9998532894798,667.8498606250058,738.1498459539538
2026-01-01,704.0289195451658,668.8274735679074,739.2303655224241
2026-02-01,702.1358306427362,667.0290391105993,737.2426221748731
2026-03-01,710.2192884492454,674.7083240267831,745.7302528717076
2026-04-01,726.9469651668577,690.5996169085148,763.2943134252006
2026-05-01,749.054716538564,711.6019807116357,786.5074523654922
2026-06-01,804.0740541205699,763.8703514145415,844.2777568265984
2026-07-01,792.0321910222139,752.4305814711031,831.6338005733246
2026-08-01,786.6216327061356,747.2905510708288,825.9527143414425
2026-09-01,779.1088586625408,740.1534157294137,818.0643015956679
2026-10-01,791.6228409713832,752.041698922814,831.2039830199524
2026-11-01,772.2493294474596,733.6368629750865,810.8617959198326
