ds,yhat,yhat_lower,yhat_upper
2025-12-01,580.8855017941208,551.8412267044148,609.9297768838269
2026-01-01,528.3222566676567,501.90614383427385,554.7383695010395
2026-02-01,506.7112547467506,481.37569200941306,532.0468174840881
2026-03-01,504.6703611170502,479.4368430611977,529.9038791729027
2026-04-01,502.2679151522188,477.1545193946078,527.3813109098297
2026-05-01,508.19597382221684,482.786175131106,533.6057725133277
2026-06-01,481.86824540386397,457.77483313367077,505.96165767405716
2026-07-01,469.9386917713201,446.4417571827541,493.43562635988616
2026-08-01,470.95540823466695,447.40763782293357,494.50317864640033
2026-09-01,540.6197463601317,513.588759042125,567.6507336781383
2026-10-01,520.8226814056957,494.7815473354109,546.8638154759805
2026-11-01,526.5008986419514,500.1758537098538,552.825943574049
