ds,yhat,yhat_lower,yhat_upper
2025-12-01,374.9819229384201,356.23282679149906,393.73101908534113
2026-01-01,382.7479797192297,363.6105807332682,401.8853787051912
2026-02-01,424.2264316855567,403.0151101012788,445.43775326983456
2026-03-01,418.5399087774141,397.61291333854336,439.46690421628483
2026-04-01,387.0036171417617,367.6534362846736,406.3537979988498
2026-05-01,394.075019819507,374.37126882853164,413.7787708104824
2026-06-01,463.5217904968615,440.3457009720184,486.69788002170463
2026-07-01,351.9319283946645,334.33533197493125,369.52852481439777
2026-08-01,416.88940383409204,396.04493364238743,437.73387402579664
2026-09-01,412.9653564607313,392.3170886376947,433.6136242837679
2026-10-01,422.60273466910144,401.4725979356463,443.73287140255655
2026-11-01,380.25818912012903,361.24527966412256,399.2710985761355
