ds,yhat,yhat_lower,yhat_upper
2025-12-01,149.27884840666098,141.81490598632791,156.74279082699405
2026-01-01,148.60040881415367,141.17038837344597,156.03042925486136
2026-02-01,150.79865293477627,143.25872028803744,158.3385855815151
2026-03-01,150.82043220034254,143.2794105903254,158.36145381035968
2026-04-01,149.51068288968082,142.03514874519678,156.98621703416487
2026-05-01,149.86953865367158,142.376061720988,157.36301558635517
2026-06-01,149.8770680276837,142.3832146262995,157.3709214290679
2026-07-01,150.29882571792854,142.7838844320321,157.81376700382498
2026-08-01,150.22295016395105,142.7118026557535,157.7340976721486
2026-09-01,148.81605150499706,141.37524892974722,156.2568540802469
2026-10-01,149.95306489944838,142.45541165447597,157.4507181444208
2026-11-01,149.92558641090386,142.42930709035866,157.42186573144906
