ds,yhat,yhat_lower,yhat_upper
2025-12-01,134.7717534152033,128.03316574444312,141.5103410859635
2026-01-01,137.5607215587828,130.68268548084365,144.43875763672196
2026-02-01,142.65956827328483,135.52658985962057,149.7925466869491
2026-03-01,129.51699499174453,123.0411452421573,135.99284474133177
2026-04-01,142.881401488956,135.7373314145082,150.02547156340378
2026-05-01,137.73919443205284,130.8522347104502,144.62615415365548
2026-06-01,137.76617110788035,130.87786255248633,144.65447966327437
2026-07-01,144.51906006688878,137.29310706354434,151.74501307023323
2026-08-01,137.5507969375804,130.67325709070138,144.42833678445942
2026-09-01,135.34364057147064,128.57645854289711,142.11082260004417
2026-10-01,149.05699951071222,141.6041495351766,156.50984948624784
2026-11-01,146.4385438105004,139.11661661997536,153.76047100102542
