ds,yhat,yhat_lower,yhat_upper
2025-12-01,118.80132895421026,112.86126250649974,124.74139540192078
2026-01-01,116.00041030443433,110.20038978921261,121.80043081965604
2026-02-01,116.25766551997327,110.4447822439746,122.07054879597194
2026-03-01,117.37322631432001,111.504564998604,123.24188763003602
2026-04-01,115.7337228005216,109.94703666049551,121.5204089405477
2026-05-01,114.69548087301403,108.96070682936333,120.43025491666474
2026-06-01,116.19842418543443,110.38850297616271,122.00834539470615
2026-07-01,113.52518001305027,107.84892101239775,119.2014390137028
2026-08-01,118.08014878782444,112.17614134843322,123.98415622721566
2026-09-01,118.36730532465667,112.44894005842383,124.28567059088951
2026-10-01,117.4493339509247,111.57686725337845,123.32180064847094
2026-11-01,117.02404731896631,111.17284495301799,122.87524968491464
