ds,yhat,yhat_lower,yhat_upper
2025-12-01,404.36238557573597,384.1442662969491,424.5805048545228
2026-01-01,439.2516461679388,417.28906385954184,461.2142284763358
2026-02-01,418.1129966094112,397.20734677894063,439.01864643988176
2026-03-01,420.99638414849005,399.9465649410655,442.0462033559146
2026-04-01,425.6409550622543,404.35890730914156,446.92300281536706
2026-05-01,454.09701692092733,431.39216607488095,476.8018677669737
2026-06-01,481.67868885004845,457.594754407546,505.76262329255087
2026-07-01,452.4203835020101,429.7993643269096,475.0414026771106
2026-08-01,433.98496323981095,412.2857150778204,455.6842114018015
2026-09-01,506.5319288349174,481.2053323931715,531.8585252766633
2026-10-01,424.91978136165665,403.6737922935738,446.1657704297395
2026-11-01,476.8343789068177,452.99265996147676,500.6760978521586
