ds,yhat,yhat_lower,yhat_upper
2025-12-01,253.07598648787686,240.42218716348302,265.72978581227073
2026-01-01,262.88491764607465,249.7406717637709,276.0291635283784
2026-02-01,237.62317286960123,225.74201422612117,249.5043315130813
2026-03-01,260.7193478183104,247.68338042739484,273.7553152092259
2026-04-01,250.02458007499595,237.52335107124614,262.52580907874574
2026-05-01,253.24475307817872,240.58251542426976,265.90699073208765
2026-06-01,264.55459087736193,251.3268613334938,277.78232042123005
2026-07-01,259.6694704310066,246.68599690945624,272.65294395255694
2026-08-01,250.4714626676001,237.94788953422008,262.99503580098013
2026-09-01,262.1986796526589,249.08874567002593,275.30861363529186
2026-10-01,276.8624885364565,263.01936410963367,290.70561296327935
2026-11-01,261.40219995444863,248.33208995672618,274.4723099521711
