ds,yhat,yhat_lower,yhat_upper
2025-12-01,120.52170391963345,114.49561872365177,126.54778911561513
2026-01-01,122.06014858661884,115.9571411572879,128.1631560159498
2026-02-01,118.94151272954984,112.99443709307235,124.88858836602734
2026-03-01,112.26751413754054,106.65413843066351,117.88088984441758
2026-04-01,121.53835553862176,115.46143776169066,127.61527331555286
2026-05-01,124.55302889356457,118.32537744888634,130.7806803382428
2026-06-01,122.28293625420537,116.1687894414951,128.39708306691563
2026-07-01,127.31320334872694,120.9475431812906,133.6788635161633
2026-08-01,129.86265794162182,123.36952504454072,136.35579083870292
2026-09-01,128.28450997149184,121.87028447291725,134.69873547006645
2026-10-01,129.1208363698639,122.66479455137069,135.57687818835709
2026-11-01,128.23545182708114,121.82367923572707,134.6472244184352
