ds,yhat,yhat_lower,yhat_upper
2025-12-01,481.17978127343616,457.1207922097643,505.238770337108
2026-01-01,484.56373821671815,460.33555130588223,508.79192512755407
2026-02-01,478.2639975124723,454.35079763684865,502.177197388096
2026-03-01,475.0651206893946,451.3118646549248,498.81837672386433
2026-04-01,472.36741552538695,448.74904474911756,495.98578630165633
2026-05-01,478.71328628460583,454.7776219703755,502.64895059883617
2026-06-01,482.57240790410503,458.4437875088998,506.7010282993103
2026-07-01,493.0543996188206,468.4016796378795,517.7071195997617
2026-08-01,513.5964663677382,487.9166430493513,539.2762896861252
2026-09-01,522.0371351394568,495.93527838248394,548.1389918964297
2026-10-01,464.99883322164635,441.748891560564,488.2487748827287
2026-11-01,506.4010900481954,481.0810355457856,531.7211445506052
