ds,yhat,yhat_lower,yhat_upper
2025-12-01,621.21268562514,590.1520513438829,652.2733199063971
2026-01-01,694.755073413617,660.0173197429361,729.4928270842978
2026-02-01,683.9557418510794,649.7579547585254,718.1535289436334
2026-03-01,677.1214170407534,643.2653461887157,710.977487892791
2026-04-01,631.3207932595149,599.7547535965391,662.8868329224906
2026-05-01,640.2402093313162,608.2281988647504,672.252219797882
2026-06-01,680.948262329342,646.9008492128748,714.9956754458092
2026-07-01,727.7375873229525,691.3507079568049,764.1244666891002
2026-08-01,661.6946910269751,628.6099564756263,694.7794255783239
2026-09-01,686.8242311170943,652.4830195612395,721.1654426729491
2026-10-01,681.0300370641712,646.9785352109626,715.0815389173798
2026-11-01,679.7120027718819,645.7264026332878,713.697602910476
