ds,yhat,yhat_lower,yhat_upper
2025-12-01,163.64112064976734,155.45906461727898,171.8231766822557
2026-01-01,160.3904793124455,152.37095534682322,168.4100032780678
2026-02-01,173.45935488034172,164.78638713632463,182.1323226243588
2026-03-01,162.92644069535692,154.78011866058907,171.07276273012477
2026-04-01,180.47456485653674,171.4508366137099,189.4982930993636
2026-05-01,170.3933745055288,161.87370578025235,178.91304323080527
2026-06-01,171.26710931256028,162.70375384693224,179.83046477818831
2026-07-01,168.91125436412685,160.4656916459205,177.3568170823332
2026-08-01,180.02738793669818,171.02601853986326,189.0287573335331
2026-09-01,181.05120361619288,171.99864343538323,190.10376379700253
2026-10-01,193.00295359495377,183.35280591520606,202.65310127470147
2026-11-01,189.81480936088494,180.32406889284067,199.3055498289292
