ds,yhat,yhat_lower,yhat_upper
2025-11-01,763.2467377487658,725.0844008613275,801.4090746362041
2025-12-01,833.5619452638443,791.883848000652,875.2400425270366
2026-01-01,815.1832802570623,774.4241162442091,855.9424442699154
2026-02-01,814.181720263475,773.4726342503012,854.8908062766487
2026-03-01,869.3365684780644,825.8697400541611,912.8033969019676
2026-04-01,869.0371450495888,825.5852877971093,912.4890023020683
2026-05-01,941.9304611576406,894.8339380997585,989.0269842155227
2026-06-01,1095.236364549348,1040.4745463218806,1149.9981827768156
2026-07-01,873.277772766696,829.6138841283612,916.9416614050308
2026-08-01,975.4768818497312,926.7030377572446,1024.2507259422177
2026-09-01,849.9781889369478,807.4792794901005,892.4770983837952
2026-10-01,787.1248914751434,747.7686469013862,826.4811360489006
