ds,yhat,yhat_lower,yhat_upper
2025-11-01,132.83892165859544,126.19697557566566,139.48086774152523
2025-12-01,148.4599784864276,141.0369795621062,155.88297741074896
2026-01-01,151.35234938646747,143.7847319171441,158.91996685579085
2026-02-01,144.16268235805876,136.95454824015582,151.3708164759617
2026-03-01,150.6421922434115,143.1100826312409,158.1743018555821
2026-04-01,149.76689739628273,142.2785525264686,157.25524226609687
2026-05-01,144.59830425021067,137.36838903770013,151.82821946272122
2026-06-01,166.88279482533824,158.5386550840713,175.22693456660517
2026-07-01,159.0830716463899,151.1289180640704,167.0372252287094
2026-08-01,153.51509354567673,145.8393388683929,161.19084822296057
2026-09-01,154.81183524129463,147.0712434792299,162.55242700335936
2026-10-01,174.56838646799804,165.83996714459812,183.29680579139796
