ds,yhat,yhat_lower,yhat_upper
2025-10-01,289.09484381714475,274.6401016262875,303.549586008002
2025-11-01,278.04797279183816,264.14557415224624,291.9503714314301
2025-12-01,287.4962199300997,273.1214089335947,301.8710309266047
2026-01-01,236.27209533532846,224.458490568562,248.0857001020949
2026-02-01,216.84299517666676,206.0008454178334,227.68514493550012
2026-03-01,264.92652129489016,251.68019523014564,278.17284735963466
2026-04-01,335.6389078411956,318.8569624491358,352.4208532332554
2026-05-01,282.60782266694747,268.4774315336001,296.73821380029483
2026-06-01,303.58885986048244,288.40941686745833,318.76830285350655
2026-07-01,231.7490425395699,220.16159041259138,243.33649466654842
2026-08-01,313.26543812794483,297.6021662215476,328.9287100343421
2026-09-01,304.37128223488935,289.1527181231449,319.5898463466338
