ds,yhat,yhat_lower,yhat_upper
2025-12-01,150.88517514816292,143.34091639075476,158.42943390557107
2026-01-01,147.03985984632723,139.68786685401088,154.3918528386436
2026-02-01,154.14525868479524,146.43799575055547,161.852521619035
2026-03-01,153.39473742719863,145.7250005558387,161.06447429855857
2026-04-01,149.53442841417626,142.05770699346743,157.0111498348851
2026-05-01,151.509278388511,143.93381446908546,159.08474230793655
2026-06-01,149.8896970909571,142.39521223640924,157.38418194550496
2026-07-01,157.4406429440976,149.5686107968927,165.31267509130248
2026-08-01,146.4236975928229,139.10251271318174,153.74488247246404
2026-09-01,150.72325794980125,143.18709505231118,158.25942084729132
2026-10-01,144.96015962443957,137.7121516432176,152.20816760566154
2026-11-01,148.02089877706507,140.6198538382118,155.42194371591833
