ds,yhat,yhat_lower,yhat_upper
2025-12-01,123.93733672652053,117.74046989019449,130.13420356284655
2026-01-01,136.2148826748103,129.40413854106978,143.0256268085508
2026-02-01,138.6701283424577,131.73662192533482,145.6036347595806
2026-03-01,141.33639906466308,134.26957911142992,148.40321901789625
2026-04-01,135.83903471964365,129.04708298366145,142.63098645562584
2026-05-01,144.22300268020174,137.01185254619165,151.43415281421184
2026-06-01,146.0203008027706,138.71928576263207,153.32131584290914
2026-07-01,137.83392488102896,130.94222863697752,144.7256211250804
2026-08-01,135.57148195642674,128.7929078586054,142.35005605424809
2026-09-01,136.07545764375146,129.27168476156388,142.87923052593905
2026-10-01,139.67008217380922,132.68657806511877,146.65358628249967
2026-11-01,131.04142468896043,124.48935345451241,137.59349592340845
