ds,yhat,yhat_lower,yhat_upper
2025-12-01,600.728490788588,570.6920662491586,630.7649153280174
2026-01-01,637.2419535753374,605.3798558965706,669.1040512541043
2026-02-01,631.3220080912649,599.7559076867017,662.8881084958282
2026-03-01,650.5422978824301,618.0151829883087,683.0694127765516
2026-04-01,643.7620289546783,611.5739275069443,675.9501304024122
2026-05-01,638.6117954496565,606.6812056771736,670.5423852221394
2026-06-01,689.0254659847553,654.5741926855176,723.4767392839931
2026-07-01,679.7424695386826,645.7553460617485,713.7295930156167
2026-08-01,636.4743480403326,604.650630638316,668.2980654423493
2026-09-01,644.1286034749535,611.9221733012058,676.3350336487011
2026-10-01,668.9303299431397,635.4838134459826,702.3768464402967
2026-11-01,627.6576785876217,596.2747946582406,659.0405625170029
