ds,yhat,yhat_lower,yhat_upper
2025-12-01,164.76242872296817,156.52430728681975,173.00055015911659
2026-01-01,166.1410244864148,157.83397326209405,174.44807571073557
2026-02-01,173.98518916941617,165.28592971094537,182.68444862788698
2026-03-01,178.46208397821775,169.53897977930686,187.38518817712864
2026-04-01,180.7555903668717,171.7178108485281,189.7933698852153
2026-05-01,170.21726291823202,161.70639977232042,178.72812606414362
2026-06-01,161.23393629474253,153.1722394800054,169.29563310947967
2026-07-01,159.52051994032146,151.54449394330538,167.49654593733754
2026-08-01,167.64237655460715,159.2602577268768,176.0244953823375
2026-09-01,171.2951771389546,162.73041828200687,179.85993599590236
2026-10-01,183.6483980122089,174.46597811159845,192.83081791281936
2026-11-01,165.35552505962337,157.0877488066422,173.62330131260455
