ds,yhat,yhat_lower,yhat_upper
2025-12-01,556.4512643981152,528.6287011782094,584.273827618021
2026-01-01,565.2063527754959,536.9460351367211,593.4666704142708
2026-02-01,575.9529619005899,547.1553138055604,604.7506099956195
2026-03-01,545.2600692393194,517.9970657773533,572.5230727012854
2026-04-01,565.6616219731467,537.3785408744893,593.944703071804
2026-05-01,582.7661771457927,553.627868288503,611.9044860030823
2026-06-01,557.7215978593085,529.8355179663431,585.607677752274
2026-07-01,592.7971584749666,563.1573005512183,622.437016398715
2026-08-01,539.863284125233,512.8701199189713,566.8564483314947
2026-09-01,483.48384539193,459.3096531223335,507.6580376615265
2026-10-01,516.1931952153564,490.3835354545885,542.0028549761242
2026-11-01,518.3918336439581,492.4722419617602,544.311425326156
