ds,yhat,yhat_lower,yhat_upper
2025-11-01,258.4685137440269,245.54508805682553,271.39193943122825
2025-12-01,258.2453455818884,245.33307830279395,271.1576128609828
2026-01-01,256.9127561835512,244.06711837437365,269.75839399272877
2026-02-01,261.2664757829083,248.20315199376287,274.32979957205373
2026-03-01,260.8497204203399,247.8072343993229,273.8922064413569
2026-04-01,257.47308172878843,244.59942764234899,270.3467358152279
2026-05-01,313.76015893107495,298.0721509845212,329.4481668776287
2026-06-01,260.9051895274352,247.85993005106343,273.95044900380697
2026-07-01,258.3665460021682,245.4482187020598,271.28487330227665
2026-08-01,259.30516185201145,246.33990375941087,272.27041994461206
2026-09-01,260.9468506528247,247.89950812018347,273.994193185466
2026-10-01,261.0506307555639,247.99809921778566,274.10316229334205
