ds,yhat,yhat_lower,yhat_upper
2025-12-01,518.3991544707856,492.47919674724625,544.3191121943248
2026-01-01,543.8019078120349,516.6118124214331,570.9920032026366
2026-02-01,548.9880279222576,521.5386265261448,576.4374293183705
2026-03-01,526.139267151051,499.8323037934984,552.4462305086035
2026-04-01,518.9841281751468,493.0349217663894,544.9333345839042
2026-05-01,538.8427826371354,511.90064350527865,565.7849217689923
2026-06-01,514.3213096906367,488.6052442061048,540.0373751751686
2026-07-01,555.1827088563091,527.4235734134936,582.9418442991246
2026-08-01,575.2196296857758,546.458648201487,603.9806111700645
2026-09-01,551.7115259251107,524.1259496288551,579.2971022213662
2026-10-01,568.5173603597865,540.0914923417971,596.9432283777759
2026-11-01,554.4043097483739,526.6840942609551,582.1245252357926
